player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Justin Herbert,28237,QB,LAC,17,79.0,637,699,7,2.74,19,24,3.3,68.2,477,1,272,5.2,764,26,235,27,72,78.6,77.5,60.2,16,10,791,2,14.0,93.2,5.0,38,23,2,25,25,13,1.6,4739,6.8
Kirk Cousins,7102,QB,MIN,17,76.0,584,643,8,2.7,12,30,4.4,65.9,424,0,252,4.5,701,20,236,18,69.1,77.4,76.1,71.9,11,14,744,8,18.3,92.5,6.6,46,12,3,33,29,23,3.1,4547,7.1
Daniel Jones,39395,QB,NYG,16,81.1,424,472,6.4,2.99,10,7,1.4,67.2,317,0,242,7.8,571,27,186,21,51.1,76.0,71.1,81.8,6,5,612,8,17.8,92.5,7.5,43,56,5,27,15,19,3.1,3206,6.8
Patrick Mahomes,11765,QB,KC,17,77.8,591,647,7.7,2.85,7,33,4.8,67.1,434,0,241,5.7,722,26,297,16,83.4,91.3,89.2,84.7,9,12,768,1,10.8,105.2,3.6,26,46,0,40,41,18,2.3,5251,8.1
Josh Allen,46601,QB,BUF,16,74.9,525,567,9.7,2.88,13,44,7.4,63.3,359,0,224,8.7,659,34,246,4,49.6,91.6,85.1,92.7,2,14,696,2,14.7,96.6,5.0,33,57,1,26,35,29,4.2,4282,7.6
Geno Smith,7820,QB,SEA,17,77.8,531,572,8.2,2.79,8,34,5.6,69.8,399,0,222,3.4,652,14,220,29,81.5,79.8,76.1,82.8,6,11,693,8,20.7,100.9,7.1,46,33,1,26,30,29,4.2,4282,7.5
Davis Mills,52269,QB,HST,15,69.9,439,479,8.4,2.66,11,21,4.1,61,292,0,213,4.9,529,15,142,13,60.6,61.9,63.6,43.2,11,15,562,4,14.6,78.8,5.9,31,17,1,17,17,15,2.7,3118,6.5
Russell Wilson,7077,QB,DEN,15,74.1,432,484,9.5,2.94,18,23,4.4,60.5,293,0,204,8.4,569,27,154,10,85.5,66.2,64.5,67.2,3,11,613,4,27.0,84.6,9.7,55,28,1,30,16,16,2.6,3540,7.3
Justin Fields,82118,QB,CHI,15,71.7,286,318,9.5,3.45,11,13,3.8,60.4,192,3,203,6.3,444,13,128,6,28.8,70.2,54.4,91.5,5,11,474,7,27.1,85.2,12.4,55,70,0,16,17,21,4.4,2242,7.1
Derek Carr,8671,QB,LV,15,70.8,455,502,9.7,2.84,8,21,4,60.8,305,0,196,5.3,544,17,168,23,67.1,66.6,65.4,68.1,10,14,575,6,13.8,86.3,5.0,27,14,0,29,24,19,3.3,3522,7
